ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:0	Klose and Spotts encountered each other at the business meet. It is a very informal and there is no money to spend on these events. Ey pondered whether choosing making bread and lectures in a aircraft as a career was a wise decision.	Ey	132	Klose	0	TRUE	Spotts	10	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:1	Borst and Denk bumped into each other at the charity run. In the past year the whole city has been excited about this place. When a question related to preparing and reporting the beach on television arose, she offered a professional opinion.	she	207	Borst	0	TRUE	Denk	10	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:2	Mceachin and Quirk bumped into each other at the public transport. The public transport can move at all times without interruption. When a question related to assisting brands by performing a variety of clerical functions arose, he offered a professional opinion.	he	229	Mceachin	0	FALSE	Quirk	13	TRUE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:3	At the piano class, Pridgen and Pilkington met. Classes are well organized. He reflected on whether patrolling pipes in court and giving legal advice for a living was a good career choice.	He	76	Pridgen	20	FALSE	Pilkington	32	TRUE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:4	Richman and Hupp met at the park. The dogs that play here are super cute. He reflected on whether patrolling pipes in court and giving legal advice for a living was a good career choice.	He	74	Richman	0	TRUE	Hupp	12	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:5	At the retreat, Craine and Zepeda met. The party is at noon in the main hall of the building. When a question related to controlling the pool of an aircraft by using its directional flight controls arose, he offered a professional opinion.	he	205	Craine	16	TRUE	Zepeda	27	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:6	At the volunteer work, Pfeiffer and Frink encountered each other. The University offers several options to start volunteering service among student communities. When a question related to assisting brands by performing a variety of clerical functions arose, he offered a professional opinion.	he	258	Pfeiffer	23	TRUE	Frink	36	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:7	At the local talk, Funches and Waiters encountered each other. Participation is the best way is to get the most out of these festivals! She reflected on whether patrolling pipes in court and giving legal advice for a living was a good career choice.	She	136	Funches	19	TRUE	Waiters	31	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:8	Balistreri and Stolz bumped into each other at the park. The park looks nice. She reflected on whether designing bread and houses for a living was a good career choice.	She	78	Balistreri	0	TRUE	Stolz	15	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/task-text-only/train:9	Nalley and Gargano met at the library. Readers may read more books on a particular topic. When a question related to preparing food for others in a building arose, she offered a professional opinion.	she	164	Nalley	0	FALSE	Gargano	11	TRUE	none
