ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:0	Vanderlaan is a dentist. Stamey is a judge. Stamey and Vanderlaan encountered each other at the charity run. Ey pondered whether choosing deciding cases in a law court as a career was a wise decision.	Ey	109	Stamey	44	TRUE	Vanderlaan	55	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:1	Ikeda is a food preparation worker. Elswick is a pilot. Elswick and Ikeda bumped into each other at the party. Ze reflected on whether cleaning the kitchen area at restaurants for a living was a good career choice.	Ze	111	Elswick	56	FALSE	Ikeda	68	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:2	Pahl is an accountant. Troxell is a hairdresser. Troxell and Pahl bumped into each other at the food and drink festival. When a question related to cutting hair and giving it a new style arose, he offered a professional opinion.	he	194	Troxell	49	TRUE	Pahl	61	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:3	Hulme is a pilot. Banton is a traffic warden. Banton and Hulme bumped into each other at the new year party. He pondered whether choosing patrolling areas to check that people do not park in the wrong place as a career was a wise decision.	He	109	Banton	46	TRUE	Hulme	57	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:4	Alcorn is an accountant. Batt is a firefighter. At the cooking class, Batt and Alcorn met. When a question related to working with the money and accounts of a company arose, he offered a professional opinion.	he	174	Batt	70	FALSE	Alcorn	79	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:5	Pen is an accountant. Troxell is a judge. Pen and Troxell bumped into each other at the food and drink festival. He pondered whether choosing working with the money and accounts of a company as a career was a wise decision.	He	113	Pen	42	TRUE	Troxell	50	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:6	Burnes is an office clerk. Rainville is a judge. Rainville and Burnes met at the brewery tour. When a question related to assisting organizations by performing a variety of clerical functions arose, she offered a professional opinion.	she	199	Rainville	49	FALSE	Burnes	63	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:7	Herrington is a lawyer. Doster is a janitor. Doster and Herrington met at the charity car wash. He pondered whether choosing defending people in court and giving legal advice as a career was a wise decision.	He	96	Doster	45	FALSE	Herrington	56	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:8	Ofarrell is a bus driver. Mccallister is a veterinary doctor. At the beach, Ofarrell and Mccallister encountered each other. She reflected on whether driving buses for a living was a good career choice.	She	125	Ofarrell	76	TRUE	Mccallister	89	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:9	Shunk is a factory worker. Moorman is a food preparation worker. Shunk and Moorman met at the beach. She pondered whether choosing cleaning the kitchen area at restaurants as a career was a wise decision.	She	101	Shunk	65	FALSE	Moorman	75	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:10	Dearmas is a real estate agent. Pliego is a veterinary doctor. Pliego and Dearmas encountered each other at the public transport. Ze reflected on whether making money from selling land for development for a living was a good career choice.	Ze	130	Pliego	63	FALSE	Dearmas	74	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:11	Witherow is a hairdresser. Wee is a firefighter. Wee and Witherow met at the food festival. She reflected on whether putting out fires for a living was a good career choice.	She	92	Wee	49	TRUE	Witherow	57	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:12	Ambler is a secretary. Hinze is a librarian. Hinze and Ambler encountered each other at the beer making classes. He pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	He	113	Hinze	45	FALSE	Ambler	55	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:13	Fendley is a librarian. Coachman is an accountant. At the wedding, Coachman and Fendley met. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	93	Coachman	67	TRUE	Fendley	80	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:14	Davisson is a factory worker. Bruck is a lawyer. Davisson and Bruck met at the brewery tour. She pondered whether choosing working in a factory as a career was a wise decision.	She	93	Davisson	49	TRUE	Bruck	62	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:15	Matlock is a dentist. Dehart is an accountant. Dehart and Matlock met at the alumni event. She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	91	Dehart	47	TRUE	Matlock	58	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:16	Latimore is a firefighter. Harrill is a librarian. At the dog park, Latimore and Harrill encountered each other. She reflected on whether putting out fires for a living was a good career choice.	She	113	Latimore	68	TRUE	Harrill	81	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:17	Ethington is a pilot. Cearley is a dentist. Ethington and Cearley met at the trivia night. They pondered whether choosing fixing and treating problems with teeth as a career was a wise decision.	They	91	Ethington	44	FALSE	Cearley	58	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:18	Zerbe is a researcher. Serafini is a factory worker. Zerbe and Serafini bumped into each other at the park. He pondered whether choosing doing research in a research lab as a career was a wise decision.	He	108	Zerbe	53	TRUE	Serafini	63	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:19	Redwine is a janitor. Breece is a researcher. At the charity car wash, Redwine and Breece met. When a question related to cleaning and maintaining buildings professionally arose, she offered a professional opinion.	she	179	Redwine	71	TRUE	Breece	83	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:20	Ferland is a veterinary doctor. Lujano is a hairdresser. Ferland and Lujano bumped into each other at the new year party. She pondered whether choosing looking after sick animals by practicing veterinary medicine as a career was a wise decision.	She	122	Ferland	57	TRUE	Lujano	69	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:21	Teixeira is a librarian. Bonanno is a journalist. Bonanno and Teixeira bumped into each other at the party. He reflected on whether making news reports in writing and television for a living was a good career choice.	He	108	Bonanno	50	TRUE	Teixeira	62	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:22	Campoverde is a veterinary doctor. Schultze is a bus driver. Campoverde and Schultze bumped into each other at the trivia night. She reflected on whether looking after sick animals by practicing veterinary medicine for a living was a good career choice.	She	129	Campoverde	61	TRUE	Schultze	76	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:23	Mcdougal is a bus driver. Sin is a librarian. Sin and Mcdougal met at the wedding. They pondered whether choosing working professionally in a library as a career was a wise decision.	They	83	Sin	46	TRUE	Mcdougal	54	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:24	Biggerstaff is a lawyer. Vanleeuwen is a firefighter. Vanleeuwen and Biggerstaff bumped into each other at the holiday party. When a question related to putting out fires arose, she offered a professional opinion.	she	178	Vanleeuwen	54	TRUE	Biggerstaff	69	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:25	Parham is a food preparation worker. Almaguer is a secretary. Almaguer and Parham met at the new year party. When a question related to cleaning the kitchen area at restaurants arose, she offered a professional opinion.	she	184	Almaguer	62	FALSE	Parham	75	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:26	Millwood is a secretary. Gruver is an accountant. At the holiday party, Gruver and Millwood encountered each other. When a question related to working with the money and accounts of a company arose, she offered a professional opinion.	she	199	Gruver	72	TRUE	Millwood	83	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:27	Shorter is a hairdresser. Daubert is an accountant. Shorter and Daubert bumped into each other at the trivia night. When a question related to cutting hair and giving it a new style arose, he offered a professional opinion.	he	189	Shorter	52	TRUE	Daubert	64	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:28	Stowers is a researcher. Steinke is a secretary. Stowers and Steinke met at the rock climbing gym. He pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	He	99	Stowers	49	FALSE	Steinke	61	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:29	Ebert is a hairdresser. Height is a factory worker. Ebert and Height bumped into each other at the bus station. They pondered whether choosing cutting hair and giving it a new style as a career was a wise decision.	They	112	Ebert	52	TRUE	Height	62	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:30	Mcgarvey is a lawyer. Reader is a veterinary doctor. Mcgarvey and Reader encountered each other at the paintball courses. When a question related to defending people in court and giving legal advice arose, he offered a professional opinion.	he	206	Mcgarvey	53	TRUE	Reader	66	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:31	Defilippo is a researcher. Hinrichs is a hairdresser. Hinrichs and Defilippo encountered each other at the house party. When a question related to doing research in a research lab arose, he offered a professional opinion.	he	187	Hinrichs	54	FALSE	Defilippo	67	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:32	Persaud is an office clerk. Swinford is a bus driver. At the boardwalk arcade, Persaud and Swinford met. Ze pondered whether choosing driving buses as a career was a wise decision.	Ze	105	Persaud	79	FALSE	Swinford	91	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:33	Herald is a janitor. Worley is a traffic warden. Herald and Worley met at the alumni event. She reflected on whether cleaning and maintaining buildings professionally for a living was a good career choice.	She	92	Herald	49	TRUE	Worley	60	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/full-text/train:34	Bussiere is a real estate agent. Tritt is a secretary. At the networking event, Tritt and Bussiere encountered each other. He pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	He	123	Tritt	80	TRUE	Bussiere	90	FALSE	none
