ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:0	Bordelon and Pick encountered each other at the holiday party. Everyone is invited to pick up their own table, sit a little closer and enjoy a glass of wine in a place that's less crowded than it is. Ey pondered whether choosing deciding cases in a law court as a career was a wise decision.	Ey	200	Bordelon	0	TRUE	Pick	13	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:1	Blakeman and Peeples bumped into each other at the poolside event. It is held in the South - west of Glasgow at 10 pm and ends at 3 pm. When a question related to controlling the flight of an aircraft by operating its directional flight controls arose, she offered a professional opinion.	she	253	Blakeman	0	TRUE	Peeples	13	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:2	Lezama and Mangual bumped into each other at the museum tour. The museum has an enormous collection of famous paintings. When a question related to managing people in a company arose, he offered a professional opinion.	he	184	Lezama	0	FALSE	Mangual	11	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:3	At the grocery store, Risk and Neubert met. The market helps people pay bills and deliver goods. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	97	Risk	22	FALSE	Neubert	31	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:4	Herzberg and Voorhies met at the new year party. The party is usually a happy - go - lucky night, and the people at the party are also happy with each other. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	158	Herzberg	0	TRUE	Voorhies	13	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:5	At the high intensity class, Oldaker and Porto met. The class has interesting sessions. When a question related to putting out fires arose, he offered a professional opinion.	he	140	Oldaker	29	TRUE	Porto	41	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:6	At the street fair, Yip and Menzel encountered each other. It is held in the South - west of Glasgow at 10 pm and ends at 3 pm. When a question related to managing people in a company arose, he offered a professional opinion.	he	191	Yip	20	TRUE	Menzel	28	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:7	At the commuter bus, Barbato and Jacobs encountered each other. Public transports are eco-friendly. She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	100	Barbato	21	TRUE	Jacobs	33	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:8	Weakland and Jolliff bumped into each other at the new year party. The party is now one of the most popular events of the summer season, with kids from all over the globe taking part in it. She reflected on whether making news reports in writing and television for a living was a good career choice.	She	190	Weakland	0	TRUE	Jolliff	13	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:9	Talarico and Fenderson met at the business meet. These events and events help the local community become more active, and the whole community grows through these programs. When a question related to assisting organizations by performing a variety of clerical functions arose, she offered a professional opinion.	she	276	Talarico	0	FALSE	Fenderson	13	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:10	Kopecky and Fleisher met at the improvisation class. Classes use tasks which are very common and have multiple modules. When a question related to typing letters and keeping records for a company arose, she offered a professional opinion.	she	203	Kopecky	0	FALSE	Fleisher	12	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:11	"At the halloweeen party, Albaugh and Bivens encountered each other. The party is a ""pony - house holiday"" in which young people celebrate together by eating chocolate and drinking champagne at the same time. He pondered whether choosing making news reports in writing and television as a career was a wise decision."	He	208	Albaugh	25	FALSE	Bivens	37	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:12	At the garden, Stukes and Woolford met. There are also some wonderful flowers. They are amazing. When a question related to doing research in a research lab arose, he offered a professional opinion.	he	164	Stukes	15	TRUE	Woolford	26	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:13	Cogswell and Mire met at the local reading. If there are a lot of books then one does n't need to go to a book club. When a question related to cleaning the kitchen area at restaurants arose, ze offered a professional opinion.	ze	192	Cogswell	0	TRUE	Mire	13	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:14	Tocco and Amburgey bumped into each other at the food co-op. A great, comfortable location for a relaxed bar. She reflected on whether patrolling areas to check that people do not park in the wrong place for a living was a good career choice.	She	110	Tocco	0	TRUE	Amburgey	10	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:15	At the photography class, Garfinkel and Candela encountered each other. It is easy to find and enjoy the classes. When a question related to managing people in a company arose, she offered a professional opinion.	she	177	Garfinkel	26	TRUE	Candela	40	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:16	Deras and Rockwood encountered each other at the market. The market is getting a lot of positive news. She pondered whether choosing managing people in a company as a career was a wise decision.	She	103	Deras	0	FALSE	Rockwood	10	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:17	At the cafe, Lavigne and Levey met. Here, people can find someone to become friends with. He pondered whether choosing making news reports in writing and television as a career was a wise decision.	He	90	Lavigne	13	FALSE	Levey	25	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:18	Lemire and Monti met at the high intensity class. The class tries to make the course enjoyable. She reflected on whether cleaning the kitchen area at restaurants for a living was a good career choice.	She	96	Lemire	0	FALSE	Monti	11	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:19	Boring and Lefever bumped into each other at the grocery store. People from across the country are encouraged to join. When a question related to making money from selling land for development arose, ey offered a professional opinion.	ey	200	Boring	0	TRUE	Lefever	11	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:20	Degnan and Ransdell met at the group vacation. In a tour, people just grab a ticket and sit beside an excited tourist! Ze pondered whether choosing cleaning and maintaining buildings professionally as a career was a wise decision.	Ze	119	Degnan	0	FALSE	Ransdell	11	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:21	Paynter and Pullman met at the comic book expo. It is located in the basement of the Museum of Magic in Las Vegas, Nevada. When a question related to typing letters and keeping records for a company arose, she offered a professional opinion.	she	206	Paynter	0	FALSE	Pullman	12	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:22	Kastner and Bartos encountered each other at the group vacation. The tour is sponsored by the CAA, an advocacy group that's been campaigning to get schools to make changes to the Pledge of Allegiance. Last year, a federal judge ordered schools to end the practice. When a question related to managing people in a company arose, he offered a professional opinion.	he	328	Kastner	0	FALSE	Bartos	12	TRUE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:23	Harward and Mcadoo met at the photography class. People should check out the classes online, it wo n't be boring! When a question related to working professionally in a library arose, he offered a professional opinion.	he	184	Harward	0	TRUE	Mcadoo	12	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:24	At the gallery opening event, Brassard and Minich met. The main reason for visiting these places is to explore new areas of the city. Ey pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	Ey	134	Brassard	30	TRUE	Minich	43	FALSE	none
kitmus/background-inference-charfict-real/subtask_2_ents/task-text-only/train:25	Balint and Sturgill met at the high intensity class. A new class starts with a fun and unique theme! He pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	He	101	Balint	0	TRUE	Sturgill	11	FALSE	none
