ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:0	Lil Peep and Gustave Moreau met at the social community gathering. It is a place of faith. He was relieved to unwind after a demanding day at work painting pictures or the interior and exterior of buildings professionally.	He	91	Lil Peep	0	FALSE	Gustave Moreau	13	TRUE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:1	Marie Angélique Arnauld and Anya Taylor-Joy ran into each other at the market. The market is open to all genders and ages. She was relieved to unwind after a demanding day at work writing books or novels professionally.	She	123	Marie Angélique Arnauld	0	TRUE	Anya Taylor-Joy	28	FALSE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:2	At the school reunion, Gustav Klimt and Mike Huckabee ran into each other. Participation is the best way is to get the most out of these festivals! He shared experiences from a career of painting pictures or the interior and exterior of buildings professionally.	He	148	Gustav Klimt	23	TRUE	Mike Huckabee	40	FALSE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:3	At the happy hours, Marie Angélique Arnauld and Dianne Feinstein encountered each other. The food here has some of the best food in the city. She was relieved to unwind after a demanding day at work seeking an elected seat in government.	She	142	Marie Angélique Arnauld	20	FALSE	Dianne Feinstein	48	TRUE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:4	At the hotel, Thomas Sankara and Kid Cudi ran into each other. Located in the middle of a very busy area like the city, the surrounding street is quiet and peaceful. He shared experiences from a career of working in fashion and modeling clothes and accessories.	He	166	Thomas Sankara	14	FALSE	Kid Cudi	33	TRUE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:5	Jenna Lyons and Dianne Feinstein encountered each other at the archery class. The class is fun! She shared experiences from a career of working in fashion and modeling clothes and accessories.	She	96	Jenna Lyons	0	TRUE	Dianne Feinstein	16	FALSE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:6	Rachel Weisz and Allison DuBois ran into each other at the animal shelter. The volunteering organization works on various issues related to the mission and helps out with fundraising and tourism. She was relieved to unwind after a demanding day at work writing books or novels professionally.	She	196	Rachel Weisz	0	FALSE	Allison DuBois	17	TRUE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:7	Jenna Lyons and Dianne Feinstein met at the french class. Each session teaches a different theme. She was relieved to unwind after a demanding day at work seeking an elected seat in government.	She	98	Jenna Lyons	0	FALSE	Dianne Feinstein	16	TRUE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:8	Dianne Feinstein and Charlie Ray ran into each other at the networking event. It is open to the public. She shared experiences from a career of seeking an elected seat in government.	She	104	Dianne Feinstein	0	TRUE	Charlie Ray	21	FALSE	none
kitmus/ent-train-background-train/subtask_2_ents/full-text/train:9	Miranda Kerr and Seyyal Taner ran into each other at the dog park. The picnic area includes a great picnic table, as well as several picnic areas for more relaxing activities. She was relieved to unwind after a demanding day at work working in fashion and modeling clothes and accessories.	She	176	Miranda Kerr	0	TRUE	Seyyal Taner	17	FALSE	none
