ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:0	Laverty is a judge. Rocker is a dentist. The work of a dentist is sadliging hezly. The work of a judge is toncing ignaftedly. Laverty and Rocker encountered each other at the library. If there are a lot of books then one does n't need to go to a book club. Ey pondered whether choosing toncing ignaftedly as a career was a wise decision.	Ey	257	Laverty	126	TRUE	Rocker	138	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:1	Odle is an accountant. The work of a pilot is mepuing cevely. The work of an accountant is sparluing gobewly. Donahue is a pilot. Donahue and Odle bumped into each other at the car show. It is held in the South - west of Glasgow at 10 pm and ends at 3 pm. When a question related to mepuing cevely arose, she offered a professional opinion.	she	305	Donahue	130	TRUE	Odle	142	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:2	Sood is a manager. The work of a manager is monesing eushly. The work of a factory worker is stuling filcently. Morse is a factory worker. Morse and Sood bumped into each other at the house party. The party is the best place to see the first of the season after winning the last four and getting to watch all six for the same reason. When a question related to monesing eushly arose, he offered a professional opinion.	he	384	Morse	139	FALSE	Sood	149	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:3	Allard is a bus driver. The work of an accountant is sparluing gobewly. The work of a bus driver is heuting riuly. Reeb is an accountant. At the french class, Allard and Reeb met. Classes are well organized. He reflected on whether sparluing gobewly for a living was a good career choice.	He	208	Allard	159	FALSE	Reeb	170	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:4	The work of a judge is toncing ignaftedly. The work of an accountant is sparluing gobewly. Sloat is a judge. Sabatino is an accountant. Sabatino and Sloat met at the open gallery museum. Museums are great places to learn about culture. He reflected on whether sparluing gobewly for a living was a good career choice.	He	236	Sabatino	136	TRUE	Sloat	149	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:5	The work of a firefighter is ehemting smorbtly. The work of a pilot is mepuing cevely. Kral is a pilot. Blanchette is a firefighter. At the communal dining restaurant, Blanchette and Kral met. Here, people can find someone to become friends with. When a question related to ehemting smorbtly arose, he offered a professional opinion.	he	299	Blanchette	168	TRUE	Kral	183	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:6	The work of a factory worker is stuling filcently. Brazier is a manager. The work of a manager is monesing eushly. Brickman is a factory worker. At the specialty retail store, Brazier and Brickman encountered each other. The market is a place where people come and pick and choose and carry goods for family and friends. When a question related to monesing eushly arose, he offered a professional opinion.	he	371	Brazier	176	TRUE	Brickman	188	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:7	The work of a journalist is haping beeely. Smoot is an accountant. The work of an accountant is sparluing gobewly. Bardwell is a journalist. At the rideshare, Smoot and Bardwell encountered each other. Public transports are eco-friendly. She reflected on whether sparluing gobewly for a living was a good career choice.	She	238	Smoot	159	TRUE	Bardwell	169	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:8	Wegner is a pilot. Wash is a journalist. The work of a pilot is mepuing cevely. The work of a journalist is haping beeely. Wash and Wegner bumped into each other at the open gallery museum. It is nice to visit the ruins of ancient cities mentioned there. These are very unique places, and museums have to give us some special insight. She reflected on whether haping beeely for a living was a good career choice.	She	335	Wash	123	TRUE	Wegner	132	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:9	Sheats is a firefighter. Bracamontes is an office clerk. The work of a firefighter is ehemting smorbtly. The work of an office clerk is tarming lourly. Sheats and Bracamontes met at the museum tour. The museum has no such thing as free entry. When a question related to tarming lourly arose, she offered a professional opinion.	she	292	Sheats	152	FALSE	Bracamontes	163	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:10	The work of a secretary is aughuing ominly. Parisi is a secretary. The work of a librarian is drospiancing ghordly. Helbig is a librarian. Helbig and Parisi met at the dance class. Classes use tasks which are very common and have multiple modules. When a question related to aughuing ominly arose, she offered a professional opinion.	she	298	Helbig	139	FALSE	Parisi	150	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:11	The work of a journalist is haping beeely. Chartrand is a librarian. Guard is a journalist. The work of a librarian is drospiancing ghordly. At the music and art festival, Chartrand and Guard encountered each other. There is also a very high rate of volunteerism in the events. He pondered whether choosing haping beeely as a career was a wise decision.	He	278	Chartrand	172	FALSE	Guard	186	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:12	The work of a lawyer is clerarating degly. The work of a researcher is ecroviding vergadously. Plourde is a lawyer. Fodor is a researcher. At the cigar bar, Fodor and Plourde met. The drinks are served on time. When a question related to ecroviding vergadously arose, he offered a professional opinion.	he	268	Fodor	157	TRUE	Plourde	167	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:13	The work of a bus driver is heuting riuly. Worrall is a food preparation worker. Edgell is a bus driver. The work of a food preparation worker is glidetting cobaly. Worrall and Edgell met at the garden. The water is very good and clean. When a question related to glidetting cobaly arose, ze offered a professional opinion.	ze	289	Worrall	165	TRUE	Edgell	177	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:14	The work of a manager is monesing eushly. The work of a traffic warden is enaphying exarootily. Blandford is a traffic warden. Canavan is a manager. Blandford and Canavan bumped into each other at the bus station. The public buses come equipped with the same service options as trains. She reflected on whether enaphying exarootily for a living was a good career choice.	She	286	Blandford	149	TRUE	Canavan	163	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:15	Wolfenbarger is a dentist. Dunmire is a manager. The work of a dentist is sadliging hezly. The work of a manager is monesing eushly. At the pool party, Dunmire and Wolfenbarger encountered each other. The party is a chance at discovering and supporting the local economy, local businesses and local musicians. When a question related to monesing eushly arose, she offered a professional opinion.	she	360	Dunmire	152	TRUE	Wolfenbarger	164	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:16	The work of a manager is monesing eushly. The work of a real estate agent is nolcaplating birjuly. Brandes is a manager. Vachon is a real estate agent. Vachon and Brandes encountered each other at the food co-op. The drinks are served on time. She pondered whether choosing monesing eushly as a career was a wise decision.	She	244	Vachon	152	FALSE	Brandes	163	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:17	Boatright is a journalist. The work of a librarian is drospiancing ghordly. Vandyne is a librarian. The work of a journalist is haping beeely. At the wedding, Vandyne and Boatright met. A large number of people attend these events. He pondered whether choosing haping beeely as a career was a wise decision.	He	232	Vandyne	159	FALSE	Boatright	171	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:18	The work of a pilot is mepuing cevely. The work of a food preparation worker is glidetting cobaly. Coughlan is a food preparation worker. Aucoin is a pilot. Aucoin and Coughlan met at the communal dining restaurant. The food here is very tasty. She reflected on whether glidetting cobaly for a living was a good career choice.	She	245	Aucoin	157	FALSE	Coughlan	168	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/full-text/train:19	The work of a real estate agent is nolcaplating birjuly. The work of a journalist is haping beeely. Wilhoit is a real estate agent. Broberg is a journalist. Wilhoit and Broberg bumped into each other at the french class. All the group members have the freedom to get together. When a question related to nolcaplating birjuly arose, ey offered a professional opinion.	ey	332	Wilhoit	157	TRUE	Broberg	169	FALSE	none
