ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-train/subtask_2_ents/full-text/train:0	Bui is a dentist. Schofield is a judge. Schofield and Bui encountered each other at the volunteer work. People volunteer in areas that are close to heart. Ey pondered whether choosing deciding cases in a law court as a career was a wise decision.	Ey	155	Schofield	40	TRUE	Bui	54	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:1	Castelan is a factory worker. Shaner is a pilot. At the communal dining restaurant, Castelan and Shaner met. A great, comfortable location for a relaxed bar. He reflected on whether working in a factory for a living was a good career choice.	He	158	Castelan	84	TRUE	Shaner	97	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:2	Duren is a librarian. Gruber is a pilot. At the local talk, Gruber and Duren encountered each other. A lot of people are always talking and eating together. When a question related to working professionally in a library arose, he offered a professional opinion.	he	227	Gruber	60	FALSE	Duren	71	TRUE	none
kitmus/background-train/subtask_2_ents/full-text/train:3	Orrick is a judge. Eisenman is a factory worker. At the commuter bus, Orrick and Eisenman encountered each other. The public buses are comfortable to ride. When a question related to deciding cases in a law court arose, she offered a professional opinion.	she	220	Orrick	70	TRUE	Eisenman	81	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:4	Moll is a veterinary doctor. Demby is a dentist. At the cafe, Demby and Moll encountered each other. One of the few spots for everyone. She reflected on whether fixing and treating problems with teeth for a living was a good career choice.	She	136	Demby	62	TRUE	Moll	72	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:5	Dugas is a secretary. Hou is an accountant. Hou and Dugas encountered each other at the cafe. This place is in great shape, there are so many people here all enjoying their day and drinking the whole time. When a question related to working with the money and accounts of a company arose, he offered a professional opinion.	he	289	Hou	44	TRUE	Dugas	52	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:6	Feingold is a janitor. Norden is a hairdresser. Feingold and Norden encountered each other at the bar. The place was crowded. He pondered whether choosing cleaning and maintaining buildings professionally as a career was a wise decision.	He	126	Feingold	48	TRUE	Norden	61	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:7	Burkey is a manager. Rall is a judge. At the crossfit class, Rall and Burkey encountered each other. The classes are structured for beginners, and in some cases for people who wish to learn more or have more time. He reflected on whether deciding cases in a law court for a living was a good career choice.	He	214	Rall	61	TRUE	Burkey	70	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:8	Grimmer is a librarian. Bever is a journalist. At the volunteer organization meet, Grimmer and Bever encountered each other. Charity organizations invite people from different backgrounds to come together and work for a common cause. He reflected on whether making news reports in writing and television for a living was a good career choice.	He	234	Grimmer	83	FALSE	Bever	95	TRUE	none
kitmus/background-train/subtask_2_ents/full-text/train:9	Schisler is a real estate agent. Fessler is a food preparation worker. At the cigar bar, Fessler and Schisler met. This place is in great shape, there are so many people here all enjoying their day and drinking the whole time. When a question related to cleaning the kitchen area at restaurants arose, she offered a professional opinion.	she	302	Fessler	89	TRUE	Schisler	101	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:10	Coster is a researcher. Bahr is a dentist. Bahr and Coster met at the comic book expo. The event is still scheduled at the end of May for a crowd of around 200. When a question related to doing research in a research lab arose, he offered a professional opinion.	he	228	Bahr	43	FALSE	Coster	52	TRUE	none
kitmus/background-train/subtask_2_ents/full-text/train:11	Forward is an accountant. Annis is a janitor. Forward and Annis encountered each other at the winery tour. The tour is an annual event held in Phoenix, Arizona in which nearly 2,000 members of more than 250 religious traditions, from the Roman Catholic Church to Mormons and even some Christian denominations, march in celebration of Sunday's mass. She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	349	Forward	46	TRUE	Annis	58	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:12	Burrell is an accountant. Tignor is a manager. At the alumni event, Tignor and Burrell met. Festivals are normally conducted as cultural events. When a question related to working with the money and accounts of a company arose, she offered a professional opinion.	she	228	Tignor	68	FALSE	Burrell	79	TRUE	none
kitmus/background-train/subtask_2_ents/full-text/train:13	Casperson is a factory worker. Godbold is a manager. Casperson and Godbold met at the specialty retail store. The market helps people pay bills and deliver goods. She reflected on whether managing people in a company for a living was a good career choice.	She	163	Casperson	53	FALSE	Godbold	67	TRUE	none
kitmus/background-train/subtask_2_ents/full-text/train:14	Hockaday is a dentist. Plaisance is an accountant. Plaisance and Hockaday met at the gallery. The museum has a history museum and also an aquarium. She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	148	Plaisance	51	TRUE	Hockaday	65	FALSE	none
kitmus/background-train/subtask_2_ents/full-text/train:15	Wiedeman is a bus driver. Nicastro is a food preparation worker. Wiedeman and Nicastro met at the crossfit class. Each session teaches a different theme. When a question related to cleaning the kitchen area at restaurants arose, ze offered a professional opinion.	ze	229	Wiedeman	65	FALSE	Nicastro	78	TRUE	none
kitmus/background-train/subtask_2_ents/full-text/train:16	Roten is a firefighter. Burchard is an office clerk. Burchard and Roten met at the commuter bus. The subway and streetcar routes generally go through downtown, so it's possible at any time that people could be waiting on another group of people on a regular bus. He reflected on whether putting out fires for a living was a good career choice.	He	263	Burchard	53	FALSE	Roten	66	TRUE	none
