ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-both/subtask_2_ents/full-text/train:0	Steed is a judge. Jarreau is a dentist. The work of a dentist is fixing and treating problems with teeth. The work of a judge is deciding cases in a law court. Steed and Jarreau encountered each other at the museum tour. The museum would be great to come back again and again! Ey pondered whether choosing deciding cases in a law court as a career was a wise decision.	Ey	277	Steed	160	TRUE	Jarreau	170	FALSE	none
kitmus/background-both/subtask_2_ents/full-text/train:1	Almaguer is an accountant. The work of a pilot is controlling the flight of an aircraft by operating its directional flight controls. The work of an accountant is working with the money and accounts of a company. Siegel is a pilot. Siegel and Almaguer bumped into each other at the theater festival. It is held in the South - west of Glasgow at 10 pm and ends at 3 pm. When a question related to controlling the flight of an aircraft by operating its directional flight controls arose, she offered a professional opinion.	she	486	Siegel	232	TRUE	Almaguer	243	FALSE	none
kitmus/background-both/subtask_2_ents/full-text/train:2	Hackney is a manager. The work of a manager is managing people in a company. The work of a factory worker is working in a factory. Olmsted is a factory worker. Olmsted and Hackney bumped into each other at the community garden. The picnic line is very short in this park. When a question related to managing people in a company arose, he offered a professional opinion.	he	335	Olmsted	160	FALSE	Hackney	172	TRUE	none
kitmus/background-both/subtask_2_ents/full-text/train:3	Larkins is a bus driver. The work of an accountant is working with the money and accounts of a company. The work of a bus driver is driving buses. Hallowell is an accountant. At the brewery tour, Larkins and Hallowell met. The tour is slated to be held in Austin, Texas on May 2, where a new venue, The Art of Improvisation, will be announced. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	344	Larkins	196	FALSE	Hallowell	208	TRUE	none
kitmus/background-both/subtask_2_ents/full-text/train:4	The work of a judge is deciding cases in a law court. The work of an accountant is working with the money and accounts of a company. Ellerbe is a judge. Abrahamson is an accountant. Abrahamson and Ellerbe met at the private club. On weekend nights, this place is crowded. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	272	Abrahamson	182	TRUE	Ellerbe	197	FALSE	none
kitmus/background-both/subtask_2_ents/full-text/train:5	The work of a firefighter is putting out fires. The work of a pilot is controlling the flight of an aircraft by operating its directional flight controls. Boucher is a pilot. Dauer is a firefighter. At the hotel, Dauer and Boucher met. Here, people can find someone to become friends with. When a question related to putting out fires arose, he offered a professional opinion.	he	342	Dauer	213	TRUE	Boucher	223	FALSE	none
kitmus/background-both/subtask_2_ents/full-text/train:6	"The work of a factory worker is working in a factory. Kapadia is a manager. The work of a manager is managing people in a company. Effinger is a factory worker. At the party, Kapadia and Effinger encountered each other. The party is the main venue for fans of each game against the Patriots, a fact known simply as ""no - socks - to - the - wigs"". When a question related to managing people in a company arose, he offered a professional opinion."	he	410	Kapadia	175	TRUE	Effinger	187	FALSE	none
kitmus/background-both/subtask_2_ents/full-text/train:7	The work of a journalist is making news reports in writing and television. Souther is an accountant. The work of an accountant is working with the money and accounts of a company. Bakker is a journalist. At the gallery opening event, Souther and Bakker encountered each other. Participation is the best way is to get the most out of these festivals! She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	350	Souther	234	TRUE	Bakker	246	FALSE	none
kitmus/background-both/subtask_2_ents/full-text/train:8	Mcmurry is a pilot. Hausmann is a journalist. The work of a pilot is controlling the flight of an aircraft by operating its directional flight controls. The work of a journalist is making news reports in writing and television. Hausmann and Mcmurry bumped into each other at the private club. The staff is attentive and friendly. It's nice that they had a nice view of the area. She reflected on whether making news reports in writing and television for a living was a good career choice.	She	379	Hausmann	228	TRUE	Mcmurry	241	FALSE	none
kitmus/background-both/subtask_2_ents/full-text/train:9	Skiles is a firefighter. Maiorano is an office clerk. The work of a firefighter is putting out fires. The work of an office clerk is assisting organizations by performing a variety of clerical functions. Skiles and Maiorano met at the public transport. The subway and streetcar routes generally go through downtown, so it's possible at any time that people could be waiting on another group of people on a regular bus. When a question related to assisting organizations by performing a variety of clerical functions arose, she offered a professional opinion.	she	523	Skiles	204	FALSE	Maiorano	215	TRUE	none
kitmus/background-both/subtask_2_ents/full-text/train:10	The work of a secretary is typing letters and keeping records for a company. Zirkle is a secretary. The work of a librarian is working professionally in a library. Erbe is a librarian. Erbe and Zirkle met at the market. The markets are one of the favorite venues in town. When a question related to typing letters and keeping records for a company arose, she offered a professional opinion.	she	355	Erbe	185	FALSE	Zirkle	194	TRUE	none
kitmus/background-both/subtask_2_ents/full-text/train:11	The work of a journalist is making news reports in writing and television. Lazzara is a librarian. Mathena is a journalist. The work of a librarian is working professionally in a library. At the art expo, Lazzara and Mathena encountered each other. There is also a very high rate of volunteerism in the events. He pondered whether choosing making news reports in writing and television as a career was a wise decision.	He	311	Lazzara	205	FALSE	Mathena	217	TRUE	none
kitmus/background-both/subtask_2_ents/full-text/train:12	The work of a lawyer is defending people in court and giving legal advice. The work of a researcher is doing research in a research lab. Schweizer is a lawyer. Woolsey is a researcher. At the dog park, Woolsey and Schweizer met. There are also some wonderful flowers. They are amazing. When a question related to doing research in a research lab arose, he offered a professional opinion.	he	353	Woolsey	202	TRUE	Schweizer	214	FALSE	none
