ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:0	Laverty and Rocker encountered each other at the library. If there are a lot of books then one does n't need to go to a book club. Ey pondered whether choosing toncing ignaftedly as a career was a wise decision.	Ey	131	Laverty	0	TRUE	Rocker	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:1	Donahue and Odle bumped into each other at the car show. It is held in the South - west of Glasgow at 10 pm and ends at 3 pm. When a question related to mepuing cevely arose, she offered a professional opinion.	she	175	Donahue	0	TRUE	Odle	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:2	Morse and Sood bumped into each other at the house party. The party is the best place to see the first of the season after winning the last four and getting to watch all six for the same reason. When a question related to monesing eushly arose, he offered a professional opinion.	he	245	Morse	0	FALSE	Sood	10	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:3	At the french class, Allard and Reeb met. Classes are well organized. He reflected on whether sparluing gobewly for a living was a good career choice.	He	70	Allard	21	FALSE	Reeb	32	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:4	Sabatino and Sloat met at the open gallery museum. Museums are great places to learn about culture. He reflected on whether sparluing gobewly for a living was a good career choice.	He	100	Sabatino	0	TRUE	Sloat	13	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:5	At the communal dining restaurant, Blanchette and Kral met. Here, people can find someone to become friends with. When a question related to ehemting smorbtly arose, he offered a professional opinion.	he	166	Blanchette	35	TRUE	Kral	50	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:6	At the specialty retail store, Brazier and Brickman encountered each other. The market is a place where people come and pick and choose and carry goods for family and friends. When a question related to monesing eushly arose, he offered a professional opinion.	he	226	Brazier	31	TRUE	Brickman	43	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:7	At the rideshare, Smoot and Bardwell encountered each other. Public transports are eco-friendly. She reflected on whether sparluing gobewly for a living was a good career choice.	She	97	Smoot	18	TRUE	Bardwell	28	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:8	Wash and Wegner bumped into each other at the open gallery museum. It is nice to visit the ruins of ancient cities mentioned there. These are very unique places, and museums have to give us some special insight. She reflected on whether haping beeely for a living was a good career choice.	She	212	Wash	0	TRUE	Wegner	9	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:9	Sheats and Bracamontes met at the museum tour. The museum has no such thing as free entry. When a question related to tarming lourly arose, she offered a professional opinion.	she	140	Sheats	0	FALSE	Bracamontes	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:10	Helbig and Parisi met at the dance class. Classes use tasks which are very common and have multiple modules. When a question related to aughuing ominly arose, she offered a professional opinion.	she	159	Helbig	0	FALSE	Parisi	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:11	At the music and art festival, Chartrand and Guard encountered each other. There is also a very high rate of volunteerism in the events. He pondered whether choosing haping beeely as a career was a wise decision.	He	137	Chartrand	31	FALSE	Guard	45	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:12	At the cigar bar, Fodor and Plourde met. The drinks are served on time. When a question related to ecroviding vergadously arose, he offered a professional opinion.	he	129	Fodor	18	TRUE	Plourde	28	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:13	Worrall and Edgell met at the garden. The water is very good and clean. When a question related to glidetting cobaly arose, ze offered a professional opinion.	ze	124	Worrall	0	TRUE	Edgell	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:14	Blandford and Canavan bumped into each other at the bus station. The public buses come equipped with the same service options as trains. She reflected on whether enaphying exarootily for a living was a good career choice.	She	137	Blandford	0	TRUE	Canavan	14	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:15	At the pool party, Dunmire and Wolfenbarger encountered each other. The party is a chance at discovering and supporting the local economy, local businesses and local musicians. When a question related to monesing eushly arose, she offered a professional opinion.	she	227	Dunmire	19	TRUE	Wolfenbarger	31	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:16	Vachon and Brandes encountered each other at the food co-op. The drinks are served on time. She pondered whether choosing monesing eushly as a career was a wise decision.	She	92	Vachon	0	FALSE	Brandes	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:17	At the wedding, Vandyne and Boatright met. A large number of people attend these events. He pondered whether choosing haping beeely as a career was a wise decision.	He	89	Vandyne	16	FALSE	Boatright	28	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:18	Aucoin and Coughlan met at the communal dining restaurant. The food here is very tasty. She reflected on whether glidetting cobaly for a living was a good career choice.	She	88	Aucoin	0	FALSE	Coughlan	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:19	Wilhoit and Broberg bumped into each other at the french class. All the group members have the freedom to get together. When a question related to nolcaplating birjuly arose, ey offered a professional opinion.	ey	175	Wilhoit	0	TRUE	Broberg	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:20	Saucier and Petrillo met at the yoga class. The class instructs to practice an exercise for 1 - 3 seconds followed by a video. Ze pondered whether choosing acmastatting rigeorly as a career was a wise decision.	Ze	127	Saucier	0	FALSE	Petrillo	12	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:21	Noonan and Oberg met at the networking event. It is located in the basement of the Museum of Magic in Las Vegas, Nevada. When a question related to aughuing ominly arose, she offered a professional opinion.	she	171	Noonan	0	FALSE	Oberg	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:22	Colonna and Kephart encountered each other at the yoga class. At this point, the participants must n't interrupt the activity. When a question related to monesing eushly arose, he offered a professional opinion.	he	177	Colonna	0	FALSE	Kephart	12	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:23	Spray and Istre met at the pool party. The party is also filled by the band. When a question related to drospiancing ghordly arose, he offered a professional opinion.	he	132	Spray	0	TRUE	Istre	10	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:24	At the music festival, Keel and Dirks met. The main reason for visiting these places is to explore new areas of the city. Ey pondered whether choosing aughuing ominly as a career was a wise decision.	Ey	122	Keel	23	TRUE	Dirks	32	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:25	Smolen and Ristau met at the communal dining restaurant. This place is in great shape, there are so many people here all enjoying their day and drinking the whole time. He pondered whether choosing aughuing ominly as a career was a wise decision.	He	169	Smolen	0	TRUE	Ristau	11	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:26	Bednar and Juhl encountered each other at the music festival. The event is still underway. When a question related to aughuing ominly arose, ze offered a professional opinion.	ze	141	Bednar	0	TRUE	Juhl	11	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:27	Quiroz and Hise encountered each other at the retreat. The party is a chance at discovering and supporting the local economy, local businesses and local musicians. When a question related to axtactifying sethourdorly arose, they offered a professional opinion.	they	224	Quiroz	0	FALSE	Hise	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:28	Aguayo and Birdwell encountered each other at the poolside event. The event is still scheduled at the end of May for a crowd of around 200. She pondered whether choosing enaphying exarootily as a career was a wise decision.	She	140	Aguayo	0	TRUE	Birdwell	11	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:29	Gordy and Lamoureux bumped into each other at the library. Book clubs organize monthly meetings. He reflected on whether aughuing ominly for a living was a good career choice.	He	97	Gordy	0	TRUE	Lamoureux	10	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:30	Luft and Lucht bumped into each other at the poolside event. A lot of people are always talking and eating together. They reflected on whether aughuing ominly for a living was a good career choice.	They	117	Luft	0	TRUE	Lucht	9	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:31	"Centers and Genova bumped into each other at the dance class. Classes have a special event called a ""Shuffle Jam"". He reflected on whether drospiancing ghordly for a living was a good career choice."	He	115	Centers	0	TRUE	Genova	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:32	Llerena and Gong met at the subway. The subway and streetcar routes generally go through downtown, so it's possible at any time that people could be waiting on another group of people on a regular bus. He reflected on whether sadliging hezly for a living was a good career choice.	He	202	Llerena	0	FALSE	Gong	12	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:33	At the garden, Lambdin and Wilmes encountered each other. The birds are wild and hungry! When a question related to aughuing ominly arose, ey offered a professional opinion.	ey	139	Lambdin	15	FALSE	Wilmes	27	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:34	Shimer and Boyington met at the music festival. There is also a very high rate of volunteerism in the events. When a question related to ehemting smorbtly arose, he offered a professional opinion.	he	162	Shimer	0	TRUE	Boyington	11	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:35	Mandeville and Weber bumped into each other at the music festival. These events and events help the local community become more active, and the whole community grows through these programs. When a question related to ehemting smorbtly arose, he offered a professional opinion.	he	242	Mandeville	0	FALSE	Weber	15	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:36	Simmers and Tomlin bumped into each other at the gallery. The museum is in a historic district of central Athens and the main market district, which has become a major tourism destination, is the heart of the ancient city. She pondered whether choosing heuting riuly as a career was a wise decision.	She	223	Simmers	0	TRUE	Tomlin	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:37	Halvorsen and Gessner encountered each other at the garden. The park is good. She reflected on whether glidetting cobaly for a living was a good career choice.	She	78	Halvorsen	0	TRUE	Gessner	14	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:38	"At the pool party, Kappes and Llanes encountered each other. The party is a ""pony - house holiday"" in which young people celebrate together by eating chocolate and drinking champagne at the same time. He reflected on whether aughuing ominly for a living was a good career choice."	He	201	Kappes	19	FALSE	Llanes	30	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:39	At the dance class, Leek and Worrall encountered each other. Every class takes 7 to 13 minutes or more to become complete. She pondered whether choosing drospiancing ghordly as a career was a wise decision.	She	123	Leek	20	TRUE	Worrall	29	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:40	Strong and Luczak met at the food co-op. The place is nice. Ze pondered whether choosing tarming lourly as a career was a wise decision.	Ze	60	Strong	0	FALSE	Luczak	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:41	Stanek and Comerford encountered each other at the wedding. The main reason for visiting these places is to explore new areas of the city. When a question related to toncing ignaftedly arose, they offered a professional opinion.	they	192	Stanek	0	FALSE	Comerford	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:42	Mandel and Vidales met at the networking event. A lot of people are always talking and eating together. She pondered whether choosing nolcaplating birjuly as a career was a wise decision.	She	104	Mandel	0	FALSE	Vidales	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:43	At the cigar bar, Scholl and Doolin met. People ca n't be too disappointed at the spot for cheap coffee. When a question related to drospiancing ghordly arose, he offered a professional opinion.	he	160	Scholl	18	FALSE	Doolin	29	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:44	Southerland and Kitson encountered each other at the coffee shop. On weekend nights, this place is crowded. When a question related to sadliging hezly arose, he offered a professional opinion.	he	158	Southerland	0	TRUE	Kitson	16	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:45	At the cigar bar, Carrasquillo and Trapp encountered each other. The place is nice. He pondered whether choosing divolving accily as a career was a wise decision.	He	84	Carrasquillo	18	FALSE	Trapp	35	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:46	Avalos and Gann encountered each other at the food co-op. The place is nice. He pondered whether choosing ehemting smorbtly as a career was a wise decision.	He	77	Avalos	0	TRUE	Gann	11	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:47	At the retreat, Branum and Croft met. The party is sponsored by the Patriots. Ze reflected on whether heuting riuly for a living was a good career choice.	Ze	78	Branum	16	TRUE	Croft	27	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:48	Montano and Dauphin encountered each other at the ski resort party. The party is usually a happy - go - lucky night, and the people at the party are also happy with each other. She pondered whether choosing drospiancing ghordly as a career was a wise decision.	She	177	Montano	0	TRUE	Dauphin	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:49	At the bike tour, Alger and Mcallister met. The tour is expected to run for the weekend of March 13 through 22. Tickets are $ 13 minimum, $ 16 per person for those ages 13 - 19. When a question related to sadliging hezly arose, ey offered a professional opinion.	ey	228	Alger	18	FALSE	Mcallister	28	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:50	At the bike tour, Meier and Stebbins encountered each other. The tour is an essential part of a growing number of South African children entering the profession. He pondered whether choosing ehemting smorbtly as a career was a wise decision.	He	162	Meier	18	FALSE	Stebbins	28	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:51	Waldman and Lahti bumped into each other at the specialty retail store. The market is getting a lot of positive news. She pondered whether choosing ecroviding vergadously as a career was a wise decision.	She	118	Waldman	0	TRUE	Lahti	12	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:52	At the networking event, Waiters and Yocom encountered each other. The festival is run by the United Methodist Church. When a question related to enaphying exarootily arose, she offered a professional opinion.	she	174	Waiters	25	FALSE	Yocom	37	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:53	Lightfoot and Goddard encountered each other at the birthday party. The party is also filled by the band. She reflected on whether toncing ignaftedly for a living was a good career choice.	She	106	Lightfoot	0	TRUE	Goddard	14	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:54	At the local talk, Goggins and Greaves encountered each other. The event is still underway. He reflected on whether axtactifying sethourdorly for a living was a good career choice.	He	92	Goggins	19	TRUE	Greaves	31	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:55	At the rideshare, Geter and Hamm met. Each public bus will have a fixed schedule. He reflected on whether nolcaplating birjuly for a living was a good career choice.	He	82	Geter	18	FALSE	Hamm	28	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:56	Olmstead and Bracamontes bumped into each other at the gallery opening event. A lot of people are always talking and eating together. They reflected on whether sadliging hezly for a living was a good career choice.	They	134	Olmstead	0	FALSE	Bracamontes	13	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:57	Sankar and Jeanlouis met at the ski resort party. The party is now one of the most popular events of the summer season, with kids from all over the globe taking part in it. She reflected on whether mepuing cevely for a living was a good career choice.	She	173	Sankar	0	TRUE	Jeanlouis	11	FALSE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:58	At the open gallery museum, Alcorta and Epley met. This museum and art is what we need more of. She reflected on whether clerarating degly for a living was a good career choice.	She	96	Alcorta	28	FALSE	Epley	40	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:59	Ashman and Mello met at the communal dining restaurant. The other items that are great here are the coffee creamer. She reflected on whether heuting riuly for a living was a good career choice.	She	116	Ashman	0	FALSE	Mello	11	TRUE	none
kitmus/background-inference-real-charfict/subtask_2_ents/task-text-only/train:60	Eckart and Selders met at the french class. Classes provide fun and challenge. He pondered whether choosing toncing ignaftedly as a career was a wise decision.	He	79	Eckart	0	TRUE	Selders	11	FALSE	none
