ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:0	Klose is a judge. Spotts is a dentist. The work of a dentist is preparing food for eyes in a restaurant. The work of a judge is making bread and lectures in a aircraft. Klose and Spotts encountered each other at the business meet. It is a very informal and there is no money to spend on these events. Ey pondered whether choosing making bread and lectures in a aircraft as a career was a wise decision.	Ey	301	Klose	169	TRUE	Spotts	179	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:1	Denk is an accountant. The work of a pilot is preparing and reporting the beach on television. The work of an accountant is patrolling pipes in court and giving legal advice. Borst is a pilot. Borst and Denk bumped into each other at the charity run. In the past year the whole city has been excited about this place. When a question related to preparing and reporting the beach on television arose, she offered a professional opinion.	she	400	Borst	193	TRUE	Denk	203	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:2	Quirk is a manager. The work of a manager is assisting brands by performing a variety of clerical functions. The work of a factory worker is giving items in a university. Mceachin is a factory worker. Mceachin and Quirk bumped into each other at the public transport. The public transport can move at all times without interruption. When a question related to assisting brands by performing a variety of clerical functions arose, he offered a professional opinion.	he	430	Mceachin	201	FALSE	Quirk	214	TRUE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:3	Pridgen is a bus driver. The work of an accountant is patrolling pipes in court and giving legal advice. The work of a bus driver is reading and giving the news on aircraft. Pilkington is an accountant. At the piano class, Pridgen and Pilkington met. Classes are well organized. He reflected on whether patrolling pipes in court and giving legal advice for a living was a good career choice.	He	279	Pridgen	223	FALSE	Pilkington	235	TRUE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:4	The work of a judge is making bread and lectures in a aircraft. The work of an accountant is patrolling pipes in court and giving legal advice. Hupp is a judge. Richman is an accountant. Richman and Hupp met at the park. The dogs that play here are super cute. He reflected on whether patrolling pipes in court and giving legal advice for a living was a good career choice.	He	261	Richman	187	TRUE	Hupp	199	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:5	The work of a firefighter is controlling the pool of an aircraft by using its directional flight controls. The work of a pilot is preparing and reporting the beach on television. Zepeda is a pilot. Craine is a firefighter. At the retreat, Craine and Zepeda met. The party is at noon in the main hall of the building. When a question related to controlling the pool of an aircraft by using its directional flight controls arose, he offered a professional opinion.	he	428	Craine	239	TRUE	Zepeda	250	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:6	The work of a factory worker is giving items in a university. Pfeiffer is a manager. The work of a manager is assisting brands by performing a variety of clerical functions. Frink is a factory worker. At the volunteer work, Pfeiffer and Frink encountered each other. The University offers several options to start volunteering service among student communities. When a question related to assisting brands by performing a variety of clerical functions arose, he offered a professional opinion.	he	459	Pfeiffer	224	TRUE	Frink	237	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:7	The work of a journalist is designing bread and houses. Funches is an accountant. The work of an accountant is patrolling pipes in court and giving legal advice. Waiters is a journalist. At the local talk, Funches and Waiters encountered each other. Participation is the best way is to get the most out of these festivals! She reflected on whether patrolling pipes in court and giving legal advice for a living was a good career choice.	She	323	Funches	206	TRUE	Waiters	218	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:8	Stolz is a pilot. Balistreri is a journalist. The work of a pilot is preparing and reporting the beach on television. The work of a journalist is designing bread and houses. Balistreri and Stolz bumped into each other at the park. The park looks nice. She reflected on whether designing bread and houses for a living was a good career choice.	She	252	Balistreri	174	TRUE	Stolz	189	FALSE	none
kitmus/background-inference-real-wordfict/subtask_2_ents/full-text/train:9	Nalley is a firefighter. Gargano is an office clerk. The work of a firefighter is controlling the pool of an aircraft by using its directional flight controls. The work of an office clerk is preparing food for others in a building. Nalley and Gargano met at the library. Readers may read more books on a particular topic. When a question related to preparing food for others in a building arose, she offered a professional opinion.	she	396	Nalley	232	FALSE	Gargano	243	TRUE	none
