ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-both/subtask_2_ents/task-text-only/train:0	Steed and Jarreau encountered each other at the museum tour. The museum would be great to come back again and again! Ey pondered whether choosing deciding cases in a law court as a career was a wise decision.	Ey	117	Steed	0	TRUE	Jarreau	10	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:1	Siegel and Almaguer bumped into each other at the theater festival. It is held in the South - west of Glasgow at 10 pm and ends at 3 pm. When a question related to controlling the flight of an aircraft by operating its directional flight controls arose, she offered a professional opinion.	she	254	Siegel	0	TRUE	Almaguer	11	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:2	Olmsted and Hackney bumped into each other at the community garden. The picnic line is very short in this park. When a question related to managing people in a company arose, he offered a professional opinion.	he	175	Olmsted	0	FALSE	Hackney	12	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:3	At the brewery tour, Larkins and Hallowell met. The tour is slated to be held in Austin, Texas on May 2, where a new venue, The Art of Improvisation, will be announced. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	169	Larkins	21	FALSE	Hallowell	33	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:4	Abrahamson and Ellerbe met at the private club. On weekend nights, this place is crowded. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	90	Abrahamson	0	TRUE	Ellerbe	15	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:5	At the hotel, Dauer and Boucher met. Here, people can find someone to become friends with. When a question related to putting out fires arose, he offered a professional opinion.	he	143	Dauer	14	TRUE	Boucher	24	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:6	"At the party, Kapadia and Effinger encountered each other. The party is the main venue for fans of each game against the Patriots, a fact known simply as ""no - socks - to - the - wigs"". When a question related to managing people in a company arose, he offered a professional opinion."	he	249	Kapadia	14	TRUE	Effinger	26	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:7	At the gallery opening event, Souther and Bakker encountered each other. Participation is the best way is to get the most out of these festivals! She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	146	Souther	30	TRUE	Bakker	42	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:8	Hausmann and Mcmurry bumped into each other at the private club. The staff is attentive and friendly. It's nice that they had a nice view of the area. She reflected on whether making news reports in writing and television for a living was a good career choice.	She	151	Hausmann	0	TRUE	Mcmurry	13	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:9	Skiles and Maiorano met at the public transport. The subway and streetcar routes generally go through downtown, so it's possible at any time that people could be waiting on another group of people on a regular bus. When a question related to assisting organizations by performing a variety of clerical functions arose, she offered a professional opinion.	she	319	Skiles	0	FALSE	Maiorano	11	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:10	Erbe and Zirkle met at the market. The markets are one of the favorite venues in town. When a question related to typing letters and keeping records for a company arose, she offered a professional opinion.	she	170	Erbe	0	FALSE	Zirkle	9	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:11	At the art expo, Lazzara and Mathena encountered each other. There is also a very high rate of volunteerism in the events. He pondered whether choosing making news reports in writing and television as a career was a wise decision.	He	123	Lazzara	17	FALSE	Mathena	29	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:12	At the dog park, Woolsey and Schweizer met. There are also some wonderful flowers. They are amazing. When a question related to doing research in a research lab arose, he offered a professional opinion.	he	168	Woolsey	17	TRUE	Schweizer	29	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:13	Mallow and Sand met at the restaurant. The other beverages served here are ok. When a question related to cleaning the kitchen area at restaurants arose, ze offered a professional opinion.	ze	154	Mallow	0	TRUE	Sand	11	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:14	Lindahl and Calabro bumped into each other at the open mic night. The event is free and open to all people. She reflected on whether patrolling areas to check that people do not park in the wrong place for a living was a good career choice.	She	108	Lindahl	0	TRUE	Calabro	12	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:15	At the volunteer organization meet, Heeter and Stoops encountered each other. To participate, the participants must have a working record. When a question related to managing people in a company arose, she offered a professional opinion.	she	202	Heeter	36	TRUE	Stoops	47	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:16	Rishel and Weatherby encountered each other at the bar. The drinks are served on time. She pondered whether choosing managing people in a company as a career was a wise decision.	She	87	Rishel	0	FALSE	Weatherby	11	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:17	At the improvisation class, Mehra and Eastburn met. The class has interesting sessions. He pondered whether choosing making news reports in writing and television as a career was a wise decision.	He	88	Mehra	28	FALSE	Eastburn	38	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:18	Douthit and Mcculloch met at the hotel. The food here is very tasty. She reflected on whether cleaning the kitchen area at restaurants for a living was a good career choice.	She	69	Douthit	0	FALSE	Mcculloch	12	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:19	Lentz and Merlo bumped into each other at the brewery tour. The tour is not in its 20th year, unfortunately. When a question related to making money from selling land for development arose, ey offered a professional opinion.	ey	190	Lentz	0	TRUE	Merlo	10	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:20	Coney and Grimsley met at the new year party. Some people are less interested in the party, others play up their personalities with random people to try to get in on the fun and be heard! Ze pondered whether choosing cleaning and maintaining buildings professionally as a career was a wise decision.	Ze	188	Coney	0	FALSE	Grimsley	10	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:21	Storck and Aldrete met at the wedding. It is located in the basement of the Museum of Magic in Las Vegas, Nevada. When a question related to typing letters and keeping records for a company arose, she offered a professional opinion.	she	197	Storck	0	FALSE	Aldrete	11	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:22	Speranza and Hoisington encountered each other at the new year party. The party is also filled by the band. When a question related to managing people in a company arose, he offered a professional opinion.	he	171	Speranza	0	FALSE	Hoisington	13	TRUE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:23	Nilsson and Morell met at the volunteer organization meet. Please contact the organization during working hours to discuss the volunteering options. When a question related to working professionally in a library arose, he offered a professional opinion.	he	219	Nilsson	0	TRUE	Morell	12	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:24	At the yoga class, Conaway and Trahan met. The yoga class lasts for as long as the participants like. Ey pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	Ey	102	Conaway	19	TRUE	Trahan	31	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:25	Lebeau and Meserve met at the hotel. This place is in great shape, there are so many people here all enjoying their day and drinking the whole time. He pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	He	149	Lebeau	0	TRUE	Meserve	11	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:26	Custodio and Cumberland encountered each other at the yoga class. The more people learn and practice yoga, the happier they will be with their life and career. When a question related to typing letters and keeping records for a company arose, ze offered a professional opinion.	ze	243	Custodio	0	TRUE	Cumberland	13	FALSE	none
kitmus/background-both/subtask_2_ents/task-text-only/train:27	Delaluz and Hosler encountered each other at the communal dining restaurant. One of the few spots for everyone. When a question related to cutting hair and giving it a new style arose, they offered a professional opinion.	they	185	Delaluz	0	FALSE	Hosler	12	TRUE	none
