ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-train/subtask_2_ents/task-text-only/train:0	Schofield and Bui encountered each other at the volunteer work. People volunteer in areas that are close to heart. Ey pondered whether choosing deciding cases in a law court as a career was a wise decision.	Ey	115	Schofield	0	TRUE	Bui	14	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:1	At the communal dining restaurant, Castelan and Shaner met. A great, comfortable location for a relaxed bar. He reflected on whether working in a factory for a living was a good career choice.	He	109	Castelan	35	TRUE	Shaner	48	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:2	At the local talk, Gruber and Duren encountered each other. A lot of people are always talking and eating together. When a question related to working professionally in a library arose, he offered a professional opinion.	he	186	Gruber	19	FALSE	Duren	30	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:3	At the commuter bus, Orrick and Eisenman encountered each other. The public buses are comfortable to ride. When a question related to deciding cases in a law court arose, she offered a professional opinion.	she	171	Orrick	21	TRUE	Eisenman	32	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:4	At the cafe, Demby and Moll encountered each other. One of the few spots for everyone. She reflected on whether fixing and treating problems with teeth for a living was a good career choice.	She	87	Demby	13	TRUE	Moll	23	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:5	Hou and Dugas encountered each other at the cafe. This place is in great shape, there are so many people here all enjoying their day and drinking the whole time. When a question related to working with the money and accounts of a company arose, he offered a professional opinion.	he	245	Hou	0	TRUE	Dugas	8	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:6	Feingold and Norden encountered each other at the bar. The place was crowded. He pondered whether choosing cleaning and maintaining buildings professionally as a career was a wise decision.	He	78	Feingold	0	TRUE	Norden	13	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:7	At the crossfit class, Rall and Burkey encountered each other. The classes are structured for beginners, and in some cases for people who wish to learn more or have more time. He reflected on whether deciding cases in a law court for a living was a good career choice.	He	176	Rall	23	TRUE	Burkey	32	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:8	At the volunteer organization meet, Grimmer and Bever encountered each other. Charity organizations invite people from different backgrounds to come together and work for a common cause. He reflected on whether making news reports in writing and television for a living was a good career choice.	He	187	Grimmer	36	FALSE	Bever	48	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:9	At the cigar bar, Fessler and Schisler met. This place is in great shape, there are so many people here all enjoying their day and drinking the whole time. When a question related to cleaning the kitchen area at restaurants arose, she offered a professional opinion.	she	231	Fessler	18	TRUE	Schisler	30	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:10	Bahr and Coster met at the comic book expo. The event is still scheduled at the end of May for a crowd of around 200. When a question related to doing research in a research lab arose, he offered a professional opinion.	he	185	Bahr	0	FALSE	Coster	9	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:11	Forward and Annis encountered each other at the winery tour. The tour is an annual event held in Phoenix, Arizona in which nearly 2,000 members of more than 250 religious traditions, from the Roman Catholic Church to Mormons and even some Christian denominations, march in celebration of Sunday's mass. She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	303	Forward	0	TRUE	Annis	12	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:12	At the alumni event, Tignor and Burrell met. Festivals are normally conducted as cultural events. When a question related to working with the money and accounts of a company arose, she offered a professional opinion.	she	181	Tignor	21	FALSE	Burrell	32	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:13	Casperson and Godbold met at the specialty retail store. The market helps people pay bills and deliver goods. She reflected on whether managing people in a company for a living was a good career choice.	She	110	Casperson	0	FALSE	Godbold	14	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:14	Plaisance and Hockaday met at the gallery. The museum has a history museum and also an aquarium. She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	97	Plaisance	0	TRUE	Hockaday	14	FALSE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:15	Wiedeman and Nicastro met at the crossfit class. Each session teaches a different theme. When a question related to cleaning the kitchen area at restaurants arose, ze offered a professional opinion.	ze	164	Wiedeman	0	FALSE	Nicastro	13	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:16	Burchard and Roten met at the commuter bus. The subway and streetcar routes generally go through downtown, so it's possible at any time that people could be waiting on another group of people on a regular bus. He reflected on whether putting out fires for a living was a good career choice.	He	210	Burchard	0	FALSE	Roten	13	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:17	At the museum tour, Golightly and Dorfman encountered each other. The museum has no such thing as free entry. When a question related to looking after sick animals by practicing veterinary medicine arose, they offered a professional opinion.	they	205	Golightly	20	FALSE	Dorfman	34	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:18	Barnwell and Smitherman met at the cafe. The atmosphere was nice. She reflected on whether managing people in a company for a living was a good career choice.	She	66	Barnwell	0	FALSE	Smitherman	13	TRUE	none
kitmus/background-train/subtask_2_ents/task-text-only/train:19	At the retreat, Frasure and Rolling met. The party is sponsored by the Patriots. He pondered whether choosing cleaning the kitchen area at restaurants as a career was a wise decision.	He	81	Frasure	16	TRUE	Rolling	28	FALSE	none
