ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:0	Belles and Deford encountered each other at the volunteer organization meet. The service offers a variety of community events and volunteer opportunities. Ey pondered whether choosing toncing ignaftedly as a career was a wise decision.	Ey	155	Belles	0	TRUE	Deford	11	FALSE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:1	Goldsmith and Degroot bumped into each other at the book club. There are ways to find the great websites out there. When a question related to mepuing cevely arose, she offered a professional opinion.	she	165	Goldsmith	0	TRUE	Degroot	14	FALSE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:2	Puglisi and Baltes bumped into each other at the library. Nowadays a few types of web - sites do it all. That says more than anything, the community is an awesome resource for other things besides books for anyone to read. When a question related to monesing eushly arose, he offered a professional opinion.	he	273	Puglisi	0	FALSE	Baltes	12	TRUE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:3	At the job fair, Ogrady and Shewmaker met. The event is still scheduled at the end of May for a crowd of around 200. He reflected on whether sparluing gobewly for a living was a good career choice.	He	117	Ogrady	17	FALSE	Shewmaker	28	TRUE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:4	Hundley and Amezcua met at the yoga class. Yoga is best done in silence. He reflected on whether sparluing gobewly for a living was a good career choice.	He	73	Hundley	0	TRUE	Amezcua	12	FALSE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:5	At the rock climbing gym, Vandam and Massenburg met. The gym is a great place to exercise in the winter. When a question related to ehemting smorbtly arose, he offered a professional opinion.	he	157	Vandam	26	TRUE	Massenburg	37	FALSE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:6	At the open mic night, Lunn and Mancuso encountered each other. It is held in the South - west of Glasgow at 10 pm and ends at 3 pm. When a question related to monesing eushly arose, he offered a professional opinion.	he	183	Lunn	23	TRUE	Mancuso	32	FALSE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:7	At the gallery, Ebersole and Silvestri encountered each other. Museums have free exhibitions. She reflected on whether sparluing gobewly for a living was a good career choice.	She	94	Ebersole	16	TRUE	Silvestri	29	FALSE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:8	Scarpelli and Palmieri bumped into each other at the yoga class. After the class, the participants may get a video lecture. She reflected on whether haping beeely for a living was a good career choice.	She	124	Scarpelli	0	TRUE	Palmieri	14	FALSE	none
kitmus/background-inference-charfict-charfict/subtask_2_ents/task-text-only/train:9	Scroggins and Schoon met at the holiday party. The party is also filled by the band. When a question related to tarming lourly arose, she offered a professional opinion.	she	134	Scroggins	0	FALSE	Schoon	14	TRUE	none
