ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:0	Stamey and Vanderlaan encountered each other at the charity run. Ey pondered whether choosing deciding cases in a law court as a career was a wise decision.	Ey	65	Stamey	0	TRUE	Vanderlaan	11	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:1	Elswick and Ikeda bumped into each other at the party. Ze reflected on whether cleaning the kitchen area at restaurants for a living was a good career choice.	Ze	55	Elswick	0	FALSE	Ikeda	12	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:2	Troxell and Pahl bumped into each other at the food and drink festival. When a question related to cutting hair and giving it a new style arose, he offered a professional opinion.	he	145	Troxell	0	TRUE	Pahl	12	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:3	Banton and Hulme bumped into each other at the new year party. He pondered whether choosing patrolling areas to check that people do not park in the wrong place as a career was a wise decision.	He	63	Banton	0	TRUE	Hulme	11	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:4	At the cooking class, Batt and Alcorn met. When a question related to working with the money and accounts of a company arose, he offered a professional opinion.	he	126	Batt	22	FALSE	Alcorn	31	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:5	Pen and Troxell bumped into each other at the food and drink festival. He pondered whether choosing working with the money and accounts of a company as a career was a wise decision.	He	71	Pen	0	TRUE	Troxell	8	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:6	Rainville and Burnes met at the brewery tour. When a question related to assisting organizations by performing a variety of clerical functions arose, she offered a professional opinion.	she	150	Rainville	0	FALSE	Burnes	14	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:7	Doster and Herrington met at the charity car wash. He pondered whether choosing defending people in court and giving legal advice as a career was a wise decision.	He	51	Doster	0	FALSE	Herrington	11	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:8	At the beach, Ofarrell and Mccallister encountered each other. She reflected on whether driving buses for a living was a good career choice.	She	63	Ofarrell	14	TRUE	Mccallister	27	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:9	Shunk and Moorman met at the beach. She pondered whether choosing cleaning the kitchen area at restaurants as a career was a wise decision.	She	36	Shunk	0	FALSE	Moorman	10	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:10	Pliego and Dearmas encountered each other at the public transport. Ze reflected on whether making money from selling land for development for a living was a good career choice.	Ze	67	Pliego	0	FALSE	Dearmas	11	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:11	Wee and Witherow met at the food festival. She reflected on whether putting out fires for a living was a good career choice.	She	43	Wee	0	TRUE	Witherow	8	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:12	Hinze and Ambler encountered each other at the beer making classes. He pondered whether choosing typing letters and keeping records for a company as a career was a wise decision.	He	68	Hinze	0	FALSE	Ambler	10	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:13	At the wedding, Coachman and Fendley met. He reflected on whether working with the money and accounts of a company for a living was a good career choice.	He	42	Coachman	16	TRUE	Fendley	29	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:14	Davisson and Bruck met at the brewery tour. She pondered whether choosing working in a factory as a career was a wise decision.	She	44	Davisson	0	TRUE	Bruck	13	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:15	Dehart and Matlock met at the alumni event. She reflected on whether working with the money and accounts of a company for a living was a good career choice.	She	44	Dehart	0	TRUE	Matlock	11	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:16	At the dog park, Latimore and Harrill encountered each other. She reflected on whether putting out fires for a living was a good career choice.	She	62	Latimore	17	TRUE	Harrill	30	FALSE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:17	Ethington and Cearley met at the trivia night. They pondered whether choosing fixing and treating problems with teeth as a career was a wise decision.	They	47	Ethington	0	FALSE	Cearley	14	TRUE	none
kitmus/background-train-no-noise/subtask_2_ents/task-text-only/train:18	Zerbe and Serafini bumped into each other at the park. He pondered whether choosing doing research in a research lab as a career was a wise decision.	He	55	Zerbe	0	TRUE	Serafini	10	FALSE	none
